id_question,category,question,annotated_answer
T_f1,Transparency,Does the policy clearly outline data collection practices?,"Yes, the policy clearly outlines data collection practices. It includes:

Types of Information Collected: Content, communications, and other information provided when using the products, like photos, messages, metadata (location of a photo, creation date of a file), and features utilized (e.g., camera for mask and filter suggestions). Data with special protections, such as religious views, political views, health data, racial or ethnic origin, philosophical beliefs, or trade union membership, is also covered.

Networks and Connections: Data about people, accounts, hashtags, Facebook groups, and Pages that the user is connected to and interacts with. Contact information is collected if uploaded, synced, or imported from a device.

Usage Information: Data on how the products are used, including types of content viewed or engaged with, actions taken, and the time, frequency, and duration of activities.

Transaction Information: Details of purchases or financial transactions, including payment information, account and authentication information, billing, shipping, and contact details.

Information Provided by Others: Information others provide about the user, such as shared or commented photos, messages, or contact information uploaded, synced, or imported by others.

Device Information: Information from and about devices used to access the products, like computers, phones, connected TVs, and other web-connected devices. This information may be combined across different devices used by the user. (Part 1)"
T_f2,Transparency,What is the company’s stance on government requests for user data?,"Facebook responds to legal requests such as search warrants, court orders, or subpoenas when required by law. This includes requests from jurisdictions outside the United States. They also share user information to prevent and address fraud, unauthorized product use, policy violations, and harmful or illegal activity. This is done to protect the company, the users, and others. Information, including financial transaction data, can be preserved for extended periods if required by a legal request, governmental investigation, or to prevent harm. Information from accounts disabled for violating terms is retained for at least a year.  Ref:  (Part 3)"
T_f3,Transparency,How does the privacy policy address potential conflicts of interest in data usage or sharing?,Not mentioned explicitly in policy. Reference :N/A
T_u1,Transparency,What sort of data is collected from me while using this?,"While using Facebook, various types of information are collected from you, which include:

Information and Content You Provide:

Content, communications, and other information provided while using their Products.
Metadata related to the content you provide, such as the location of a photo or the date a file was created.
Information seen through features like the camera, including suggestions for filters.
Data with Special Protections:

Information you might add in your profile fields or Life Events about religious views, political views, health information, and more.
Sensitive categories like racial or ethnic origin, philosophical beliefs, or trade union membership.
Networks and Connections:

Information about people, accounts, hashtags, Facebook groups, and Pages you are connected to and interact with.
Contact information if you upload, sync, or import it from a device.
Your Usage:

Types of content you view or engage with, features you use, actions you take, people or accounts you interact with.
Log data such as when and how often you use their Products, and what content you view.
Transactions:

Information about transactions made on their Products, like purchases in a game or donations.
Payment information, account and authentication information, billing, shipping, and contact details.
Things Others Do and Information They Provide About You:

Content, communications, and information about you provided by other users.
Device Information:

Information from devices you use that integrate with their Products, including device attributes, operations, identifiers, signals, data from device settings, network and connections data.
Cookie Data:

Data from cookies stored on your device, including cookie IDs and settings.
Information from Partners:

Data from advertisers, app developers, publishers through Meta Business Tools.
Information about your activities outside of Meta Products."
UC_f1,User Control,Are users given control over their data and privacy settings?,"Yes, Facebook did provide users with controls over their privacy settings. Ref. (Part 3)"
UC_f2,User Control,Are there clear mechanisms for users to request data deletion or access?,"Yes, clear mechanisms exist for users to request data deletion or access. Users can access, rectify, port, and erase their data through their Facebook and Instagram settings. Data is stored until it's no longer necessary for providing services, or until the user's account is deleted. Specific examples given include being able to access and delete search queries, with logs of searches being deleted after 6 months, and copies of government-issued IDs submitted for verification being deleted after 30 days. When a user deletes their account, their posted content, like photos and status updates, are deleted and cannot be recovered, but information others have shared about the user isn't part of the user's account and won't be deleted. If a user doesn't want to delete their account permanently, they can choose to deactivate it temporarily. Ref. (Part 3)"
UC_f3,User Control,How does the company manage consent and withdrawal of consent from users?,"Facebook manages user consent and withdrawal of consent as follows:

Data Management Tools: Users are provided with tools to access, rectify, port, and erase their data, as found in the Facebook and Instagram Settings. This allows users to have control over their data and manage it directly through their account settings.

Data Retention Policy: Data is stored only until it is necessary to provide services and Meta Products, or until the user's account is deleted, whichever occurs first. This approach suggests that data retention is limited to what is necessary for service provision.

Case-by-Case Data Retention: The retention period for data is determined based on factors such as the nature of the data, its collection and processing purposes, and legal or operational retention needs.

Account Deletion: Deleting an account leads to the removal of user-generated content like photos and status updates, which cannot be recovered later. However, information shared about the user by others is not deleted with the user’s account.

Account Deactivation Option: Users not wishing to permanently delete their account can choose to deactivate it temporarily. This allows users to suspend their use of the Products without complete data erasure.

Account Deletion Process: Users can delete their accounts at any time by visiting the Facebook and Instagram Settings. (Part 3)"
UC_u1,User Control,Can i opt out of letting them collect data and still use the app?,Not mentioned explicitly in policy. Reference :N/A
DM_f1,Data Minimization and Purpose Limitation,Does the company minimize data retention periods?,"Yes, We store data until it is no longer necessary to provide our services and Meta Products, or until your account is deleted - whichever comes first. [This indicates that the company retains data for as long as it is needed for service provision or until the user deletes their account.] This is a case-by-case determination that depends on things like the nature of the data, why it is collected and processed, and relevant legal or operational retention needs. [This implies that data retention periods are assessed individually, considering factors such as the type of data, the purpose of collection and processing, and any legal or operational requirements.] Ref.: (Part 3)"
DM_f2,Data Minimization and Purpose Limitation,How is user data anonymized or aggregated to protect individual privacy?,Not mentioned explicitly in policy. Reference :N/A
