Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,10,10,10,10,10
AEE_f2,1,10,4.15,10,1
AEE_f3,2.35,6.4,5.95,10,3.7
AEE_u1,8.65,8.2,4.6,9.55,8.65
CA_f1,8.65,7.3,4.6,4.6,6.4
CA_f2,1,10,4.6,7.75,10
CA_f3,1,1,10,10,10
CA_u1,8.2,8.2,9.55,9.55,9.55
DM_f1,3.7,1,4.6,4.6,1
DM_f2,3.7,1,10,10,10
DM_f3,1,10,4.6,4.6,10
DM_u1,4.15,4.6,4.15,9.55,8.65
PD_f1,10,10,10,10,10
PD_f2,3.7,10,10,10,10
PD_f3,1,1,10,10,3.7
PD_u1,4.6,2.8,5.95,9.55,8.65
RC_f1,9.55,5.5,8.2,8.65,4.6
RC_f2,8.65,1,6.4,4.6,1
RC_f3,1,1,4.6,5.95,10
RC_u1,5.95,4.6,4.6,10,4.6
SE_f1,10,1,4.6,10,10
SE_f2,3.7,3.7,7.75,7.3,1
SE_f3,10,1,4.15,5.5,10
SE_u1,8.2,4.6,4.6,4.15,4.6
T_f1,8.2,8.2,9.1,9.1,7.3
T_f2,3.7,7.75,6.4,3.7,1
T_f3,10,1,4.6,10,10
T_u1,7.3,8.65,9.1,9.55,8.65
UC_f1,8.2,7.3,7.75,9.55,7.3
UC_f2,8.65,7.3,9.55,6.85,8.2
UC_f3,2.35,1,9.1,4.6,1
UC_u1,5.5,4.6,4.6,4.15,4.15
