Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,10,1,10,10,10
AEE_f2,3.7,8.2,10,10,1
AEE_f3,9.55,3.7,10,10,10
AEE_u1,7.3,8.2,4.15,10,9.1
CA_f1,1,10,5.05,5.95,1
CA_f2,3.7,10,4.6,7.75,1
CA_f3,3.7,1,10,10,10
CA_u1,6.85,6.85,8.2,6.85,10
DM_f1,10,7.3,8.65,7.75,8.2
DM_f2,6.4,7.3,10,5.95,10
DM_f3,1,1,7.3,6.85,1
DM_u1,8.2,8.2,8.2,9.1,8.2
PD_f1,10,10,10,10,10
PD_f2,10,10,10,10,10
PD_f3,10,6.4,10,10,10
PD_u1,8.2,7.3,4.6,6.4,6.4
RC_f1,10,6.4,10,8.2,1
RC_f2,9.55,10,10,4.6,7.3
RC_f3,1,10,10,10,10
RC_u1,10,10,10,8.2,10
SE_f1,8.2,8.2,10,10,10
SE_f2,8.2,7.3,7.75,5.95,9.55
SE_f3,10,10,10,10,10
SE_u1,8.2,7.3,10,2.8,4.6
T_f1,8.2,8.2,9.55,8.2,10
T_f2,8.2,8.2,9.55,9.55,10
T_f3,3.7,3.7,4.6,4.6,1
T_u1,7.3,7.3,4.6,10,10
UC_f1,10,7.75,9.55,10,8.2
UC_f2,3.7,7.75,10,9.55,9.55
UC_f3,7.3,7.3,8.2,9.55,8.2
UC_u1,4.15,4.6,10,8.2,10
