Questions,Spotify,Uber,Twitter,Facebook,Airbnb,,,,,,,,,,,,,,,,,,,
AEE_f1,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
AEE_f2,3.7,7.75,5.95,7.75,6.4,,,,,,,,,,,,,,,,,,,
AEE_f3,10,1,10,7.75,10,,,,,,,,,,,,,,,,,,,
AEE_u1,7,4.6,8.2,8.8,9.55,,,,,,,,,,,,,,,,,,,
CA_f1,6.4,9.55,8.65,5.5,7.3,,,,,,,,,,,,,,,,,,,
CA_f2,8.65,10,4.6,9.55,10,,,,,,,,,,,,,,,,,,,
CA_f3,3.7,1,10,10,10,,,,,,,,,,,,,,,,,,,
CA_u1,8.2,6.85,8.2,6.85,10,,,,,,,,,,,,,,,,,,,
DM_f1,7.3,3.7,8.65,7.3,7.75,,,,,,,,,,,,,,,,,,,
DM_f2,8.2,8.2,10,4.15,10,,,,,,,,,,,,,,,,,,,
DM_f3,1,1,2.8,4.6,1,,,,,,,,,,,,,,,,,,,
DM_u1,8.2,8.2,8.2,9.1,6.4,,,,,,,,,,,,,,,,,,,
PD_f1,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
PD_f2,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
PD_f3,10,1,10,10,3.7,,,,,,,,,,,,,,,,,,,
PD_u1,10,6.85,8.2,6.85,6.4,,,,,,,,,,,,,,,,,,,
RC_f1,10,6.4,10,9.1,3.7,,,,,,,,,,,,,,,,,,,
RC_f2,7.75,9.55,7.75,4.6,6.4,,,,,,,,,,,,,,,,,,,
RC_f3,1,10,10,10,10,,,,,,,,,,,,,,,,,,,
RC_u1,10,10,8.2,10,10,,,,,,,,,,,,,,,,,,,
SE_f1,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
SE_f2,8.2,8.2,8.2,4.6,10,,,,,,,,,,,,,,,,,,,
SE_f3,10,10,10,7.75,10,,,,,,,,,,,,,,,,,,,
SE_u1,8.2,6.85,4.6,9.1,6.4,,,,,,,,,,,,,,,,,,,
T_f1,10,8.2,8.2,6.85,10,,,,,,,,,,,,,,,,,,,
T_f2,8.2,8.2,9.1,10,10,,,,,,,,,,,,,,,,,,,
T_f3,10,1,2.8,10,10,,,,,,,,,,,,,,,,,,,
T_u1,6.85,7.3,7.3,8.65,10,,,,,,,,,,,,,,,,,,,
UC_f1,7.75,7.3,9.55,10,7.75,,,,,,,,,,,,,,,,,,,
UC_f2,7.75,7.3,9.1,9.55,9.55,,,,,,,,,,,,,,,,,,,
UC_f3,10,1,8.2,4.15,7.75,,,,,,,,,,,,,,,,,,,
UC_u1,10,4.15,4.6,8.2,8.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
