Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,10,10,10,10,10
AEE_f2,3.7,10,10,8.2,3.7
AEE_f3,10,2.35,10,7.75,10
AEE_u1,8.2,7.3,4.6,10,10
CA_f1,8.65,8.65,6.4,8.2,1
CA_f2,10,10,4.6,9.55,10
CA_f3,3.7,2.35,10,10,10
CA_u1,8.2,7.3,7.3,4.6,10
DM_f1,10,5.5,7.75,7.75,1
DM_f2,9.55,7.75,10,7.3,10
DM_f3,3.7,10,5.95,5.05,10
DM_u1,8.2,8.2,7.3,4.6,8.2
PD_f1,10,10,10,10,10
PD_f2,10,10,10,10,10
PD_f3,8.2,7.3,10,7.75,3.7
PD_u1,8.2,5.95,4.6,7.3,6.4
RC_f1,10,8.2,8.2,8.2,10
RC_f2,8.65,1,4.6,4.6,7.3
RC_f3,3.7,10,10,9.55,10
RC_u1,10,10,10,10,10
SE_f1,10,7.75,10,10,10
SE_f2,8.2,2.8,7.75,3.7,7.75
SE_f3,10,10,10,10,10
SE_u1,8.2,4.6,4.6,2.8,4.15
T_f1,8.2,6.85,9.1,9.55,8.2
T_f2,8.2,6.85,10,8.65,1
T_f3,1,2.35,8.65,10,10
T_u1,7.3,7.3,9.55,9.1,9.55
UC_f1,3.7,7.75,7.75,7.75,7.75
UC_f2,7.75,6.85,8.2,9.55,8.2
UC_f3,9.1,2.35,9.1,5.5,7.3
UC_u1,2.8,4.6,4.6,10,8.2
