Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,3.7,3.7,1,6.4,4.6
AEE_f2,10,8.65,1,5.95,6.4
AEE_f3,8.65,9.55,1,6.4,4.6
AEE_u1,7.75,9.55,10,5.5,9.55
CA_f1,6.4,8.2,4.6,7.3,8.2
CA_f2,9.1,1,8.2,4.6,4.15
CA_f3,7.75,8.2,1,5.95,4.15
CA_u1,7.3,9.1,10,9.55,8.65
DM_f1,8.2,4.6,7.75,8.2,3.7
DM_f2,10,8.2,1,5.95,3.7
DM_f3,10,1,7.3,7.3,3.7
DM_u1,9.55,9.55,9.55,9.55,9.55
PD_f1,3.7,1,1,6.4,4.6
PD_f2,5.5,3.7,1,6.4,4.6
PD_f3,3.7,8.2,1,6.4,8.2
PD_u1,8.2,9.1,4.6,9.55,5.95
RC_f1,3.7,8.2,10,7.75,4.6
RC_f2,10,9.1,7.3,6.85,8.2
RC_f3,7.75,1,1,6.4,3.7
RC_u1,5.95,6.4,4.6,4.6,4.6
SE_f1,8.2,8.2,8.2,6.4,9.55
SE_f2,7.3,5.05,7.3,6.4,7.3
SE_f3,1,1,1,6.4,4.6
SE_u1,9.1,9.1,4.6,4.6,4.6
T_f1,8.2,8.2,8.2,9.55,10
T_f2,8.2,8.2,8.2,6.85,8.2
T_f3,8.2,3.7,9.55,5.5,3.7
T_u1,9.55,9.1,9.55,8.2,9.55
UC_f1,9.1,6.4,7.75,8.2,8.2
UC_f2,7.75,7.75,7.3,8.2,8.2
UC_f3,8.65,7.75,8.2,7.75,7.3
UC_u1,6.4,9.1,6.4,4.6,4.6
