Questions,Spotify,Uber,Twitter,Facebook,Airbnb
AEE_f1,10,10,10,10,10
AEE_f2,3.7,10,9.55,10,6.4
AEE_f3,3.7,7.3,9.55,7.75,10
AEE_u1,8.2,7.75,10,10,9.1
CA_f1,10,10,10,10,6.4
CA_f2,3.7,1,8.2,8.65,1
CA_f3,3.7,1,10,10,10
CA_u1,10,10,10,10,10
DM_f1,8.2,8.2,10,10,10
DM_f2,1,4.6,8.2,4.6,10
DM_f3,10,1,10,9.55,6.4
DM_u1,9.55,10,10,10,10
PD_f1,10,10,10,10,10
PD_f2,10,10,10,10,10
PD_f3,10,1,10,10,6.4
PD_u1,10,10,8.65,7.3,10
RC_f1,7.75,8.2,10,10,7.3
RC_f2,1,7.75,10,4.6,7.75
RC_f3,4.15,3.7,10,10,10
RC_u1,10,10,10,10,10
SE_f1,10,10,8.2,10,10
SE_f2,1,7.3,8.2,4.6,7.3
SE_f3,10,10,10,10,10
SE_u1,10,10,8.2,10,6.85
T_f1,3.7,10,8.2,8.2,7.3
T_f2,1,10,10,9.55,9.55
T_f3,10,7.3,10,4.15,6.85
T_u1,10,9.75,6.85,9.55,7.75
UC_f1,7.3,10,9.55,10,10
UC_f2,1,9.55,10,9.55,9.55
UC_f3,7.75,7.75,10,5.5,9.1
UC_u1,10,2.8,8.2,10,8.2
